Rank,Article,Word,Translation,Czech,Part of Speech
799,la,visita,visit,návštěva,noun
800,el,movimiento,movement,pohyb,noun
801,,rico,rich,bohatý,adjective
802,,inocente,innocent,nevinný,adjective
803,el,pesar,sorrow,smutek,noun
804,,absoluto,absolute,absolutní,adjective
805,la,vacaciones,vacation,dovolená,noun
806,el,cine,cinema,kino,noun
807,,brillante,brilliant,skvělý,adjective
808,la,confianza,confidence,důvěra,noun
809,,vuestro,yours (informal plural),váš,pronoun
810,,especialmente,especially,zvláště,adverb
811,,embarazada,pregnant,těhotná,adjective
812,el,pantalón,pants,kalhoty,noun
813,la,defensa,defense,obrana,noun
814,,estupendo,great,skvělý,adjective
815,la,presión,pressure,tlak,noun
816,,inmediatamente,immediately,okamžitě,adverb
817,el,testigo,witness,svědek,noun
818,,olvidar,to forget,zapomenout,verb
819,el,soldado,soldier,voják,noun
820,,resultar,to result,ukázat se,verb
821,,depender,to depend,záviset,verb
822,el,motivo,motive,motiv,noun
823,el,inglés,English,angličtina,noun
824,el,estudio,study,studie,noun
825,el,sentimiento,feeling,pocit,noun
826,el,propósito,purpose,záměr,noun
827,,partir,to depart,odjet,verb
828,el,metro,subway,metro,noun
829,,ridículo,ridiculous,směšný,adjective
830,la,dama,lady,dáma,noun
831,la,operación,operation,operace,noun
832,la,empresa,company,firma,noun
833,el,laboratorio,laboratory,laboratoř,noun
834,la,elección,choice,volba,noun
835,el,menudo,often,často,noun
836,el,beso,kiss,polibek,noun
837,la,copa,glass,pohár,noun
838,la,conversación,conversation,rozhovor,noun
839,el,espíritu,spirit,duch,noun
840,,cansado,tired,unavený,adjective
841,,interesar,to interest,zajímat,verb
842,,casado,married,ženatý,adjective
843,,enorme,huge,obrovský,adjective
844,la,fe,faith,víra,noun
845,,mostrar,to show,ukázat,verb
846,la,trampa,trap,past,noun
847,la,memoria,memory,paměť,noun
848,el,contrario,opposite,opak,noun
849,,subir,to go up,jít nahoru,verb
850,el,turno,turn,směna,noun
851,,preocupado,worried,znepokojený,adjective
852,el,restaurante,restaurant,restaurace,noun
853,,calmar,to calm,uklidnit,verb
854,,caer,to fall,spadnout,verb
855,la,leche,milk,mléko,noun
856,,preferir,to prefer,preferovat,verb
857,la,red,net,síť,noun
858,,solamente,only,pouze,adverb
859,el,taxi,taxi,taxi,noun
860,el,anillo,ring,prsten,noun
861,el,héroe,hero,hrdina,noun
862,,decidir,to decide,rozhodnout,verb
863,,responsable,responsible,zodpovědný,adjective
864,el,trago,drink,doušek,noun
865,el,árbol,tree,strom,noun
866,el,diente,tooth,zub,noun
867,,encantado,delighted,rád,adjective
868,el,camión,truck,náklaďák,noun
869,,vender,to sell,prodat,verb
870,,detener,to stop,zastavit,verb
871,,luchar,to fight,bojovat,verb
872,el,cabo,end,konec,noun
873,el,ruido,noise,hluk,noun
874,la,lucha,struggle,boj,noun
875,el,reloj,watch,hodiny,noun
876,el,gato,cat,kočka,noun
877,,averiguar,to find out,zjistit,verb
878,,volar,to fly,letět,verb
879,el,colegio,school,škola,noun
880,el,sonido,sound,zvuk,noun
881,,pasado,past,minulost,adjective
882,el,código,code,kód,noun
883,la,imagen,image,obraz,noun
884,el,riesgo,risk,riziko,noun
885,el,pan,bread,chléb,noun
886,el,hielo,ice,led,noun
887,la,prensa,press,tisk,noun
888,,caminar,to walk,kráčet,verb
889,la,televisión,television,televize,noun
890,,coger,to grab,uchopit,verb
891,la,posibilidad,possibility,možnost,noun
892,el,asiento,seat,sedadlo,noun
893,,herir,to hurt,zranit,verb
894,,seguramente,surely,jistě,adverb
895,el,proyecto,project,projekt,noun
896,la,pared,wall,zeď,noun
897,el,sospechoso,suspect,podezřelý,noun
898,la,naturaleza,nature,příroda,noun
899,la,silla,chair,židle,noun
900,,arreglar,to fix,opravit,verb
901,,obtener,to obtain,získat,verb
902,la,señoría,Your Honor,Vaše ctihodnosti,noun
903,la,cantidad,quantity,množství,noun
904,el,papa,Pope,papež,noun
905,,llorar,to cry,plakat,verb
906,,familiar,family,rodinný,adjective
907,el,desastre,disaster,pohroma,noun
908,la,política,politics,politika,noun
909,,nosotras,we (feminine),my,pronoun
910,la,enfermedad,illness,nemoc,noun
911,el,colega,colleague,kolega,noun
912,el,príncipe,prince,princ,noun
913,,verde,green,zelený,adjective
914,,nervioso,nervous,nervózní,adjective
915,el,inspector,inspector,inspektor,noun
916,,servir,to serve,sloužit,verb
917,la,playa,beach,pláž,noun
918,,cantar,to sing,zpívat,verb
919,la,velocidad,speed,rychlost,noun
920,,total,total,celkový,adjective
921,el,cabello,hair,vlasy,noun
922,,suficientemente,sufficiently,dostatečně,adverb
923,la,huella,trace,stopa,noun
924,la,unidad,unit,jednotka,noun
925,el,cuchillo,knife,nůž,noun
926,la,tontería,nonsense,nesmysl,noun
927,la,emergencia,emergency,nouzový stav,noun
928,el,robo,robbery,krádež,noun
929,,permitir,to permit,dovolit,verb
930,el,parque,park,park,noun
931,,roto,broken,rozbitý,adjective
932,la,serie,series,série,noun
933,la,evidencia,evidence,důkaz,noun
934,la,botella,bottle,lahev,noun
935,el,viento,wind,vítr,noun
936,el,mando,command,velení,noun
937,el,apoyo,support,podpora,noun
938,la,bala,bullet,kulka,noun
939,el,tiro,shot,výstřel,noun
940,la,época,era,doba,noun
941,el,puente,bridge,most,noun
942,la,distancia,distance,vzdálenost,noun
943,,desear,to wish,přát si,verb
944,,pelear,to fight,rvát se,verb
945,,echar,to throw,hodit,verb
946,el,descanso,break,odpočinek,noun
947,la,área,area,oblast,noun
948,,orgulloso,proud,hrdý,adjective
949,el,dato,data,údaj,noun
950,el,espectáculo,show,podívaná,noun
951,la,magia,magic,magie,noun
952,,nacional,national,národní,adjective
953,el,universo,universe,vesmír,noun
954,la,nariz,nose,nos,noun
955,la,vergüenza,shame,stud,noun
956,el,monstruo,monster,příšera,noun
957,la,princesa,princess,princezna,noun
958,el,autobús,bus,autobus,noun
959,,cuidar,to take care of,starat se o,verb
960,el,huevo,egg,vejce,noun
961,el,paseo,walk,procházka,noun
962,el,detalle,detail,detail,noun
963,la,belleza,beauty,krása,noun
964,,abierto,open,otevřený,adjective
965,,enviar,to send,poslat,verb
966,el,ministro,minister,ministr,noun
967,,conducir,to drive,řídit,verb
968,,aceptar,to accept,přijmout,verb
969,el,contrato,contract,smlouva,noun
970,el,viernes,Friday,pátek,noun
971,el,hecho,fact,fakt,noun
972,la,sociedad,society,společnost,noun
973,la,carga,load,náklad,noun
974,,presente,present,přítomný,adjective
975,el,uso,use,použití,noun
976,el,dedo,finger,prst,noun
977,la,oferta,offer,nabídka,noun
978,,proteger,to protect,chránit,verb
979,,recibir,to receive,obdržet,verb
980,,agradecer,to thank,poděkovat,verb
981,,robar,to steal,ukrást,verb
982,,enamorado,in love,zamilovaný,adjective
983,el,oeste,west,západ,noun
984,la,herida,wound,zranění,noun
985,,despacio,slowly,pomalu,adverb
986,,directamente,directly,přímo,adverb
987,,inmediato,immediate,okamžitý,adjective
988,el,profesional,professional,profesionál,noun
989,,oscuro,dark,temný,adjective
990,el,mercado,market,trh,noun
991,el,cerdo,pig,prase,noun
992,el,líder,leader,vůdce,noun
993,el,jurado,jury,porota,noun
994,,acordar,to agree,domluvit se,verb
995,,desaparecido,missing,pohřešovaný,adjective
996,,últimamente,lately,poslední dobou,adverb
997,la,piedra,stone,kámen,noun
998,la,intención,intention,záměr,noun
999,el,humor,humor,humor,noun
1000,el,ángel,angel,anděl,noun
1001,el,peso,weight,hmotnost,noun
1002,,asesinar,to assassinate,zavraždit,verb
1003,,directo,direct,přímý,adjective
1004,,central,central,centrální,adjective
1005,,contento,happy,spokojený,adjective
1006,la,oscuridad,darkness,tma,noun
1007,,actuar,to act,jednat,verb
1008,,comenzar,to begin,začít,verb
1009,,privado,private,soukromý,adjective
1010,la,mirada,look,pohled,noun
1011,,romper,to break,rozbít,verb
1012,el,fiscal,prosecutor,státní zástupce,noun
1013,el,jardín,garden,zahrada,noun
1014,,natural,natural,přírodní,adjective
1015,,gratis,free,zdarma,adjective
1016,,costar,to cost,stát,verb
1017,la,amenaza,threat,hrozba,noun
